Time period and codes,Net tourism,Foreign tourist expenditure,other Foreign tourist expenditure,UK tourist expenditure abroad,other UK tourist expenditure abroad
2019 Q2,"6,144","-11,673","-11,673","17,817","17,817"
2019 Q3,"10,072","-13,713","-13,713","23,785","23,785"
2019 Q4,"2,093","-12,132","-12,132","14,225","14,225"
2020 Q1,"2,258","-8,993","-8,993","11,251","11,251"
2020 Q2,-536,"-3,665","-3,665","3,129","3,129"
2020 Q3,"1,212","-4,348","-4,348","5,560","5,560"
2020 Q4,-547,"-4,762","-4,762","4,215","4,215"
2021 Q1,"-1,702","-5,190","-5,190","3,488","3,488"
2021 Q2,"-1,201","-5,414","-5,414","4,213","4,213"
2021 Q3,"2,347","-7,119","-7,119","9,466","9,466"
2021 Q4,446,"-8,672","-8,672","9,118","9,118"
2022 Q1,499,"-9,116","-9,116","9,615","9,615"
2022 Q2,"5,187","-13,039","-13,039","18,226","18,226"
2022 Q3,"8,788","-15,626","-15,626","24,414","24,414"
2022 Q4,333,"-14,735","-14,735","15,068","15,068"
2023 Q1,"2,952","-11,777","-11,777","14,729","14,729"
2023 Q2,"7,681","-14,179","-14,179","21,860","21,860"
2023 Q3,"10,712","-16,311","-16,311","27,023","27,023"
2023 Q4,"4,191","-13,901","-13,901","18,092","18,092"
2024 Q1,"5,240","-13,458","-13,458","18,698","18,698"
2024 Q2,"8,800","-15,894","-15,894","24,694","24,694"
2024 Q3,"12,273","-17,993","-17,993","30,266","30,266"
2024 Q4,"2,928","-17,993","-17,993","20,921","20,921"
