Time period and codes,Clothing and footwear,Clothing,Clothing materials,Garments,Other articles of clothing and clothing accessories,Cleaning and hire of clothing,Footwear,Shoes and other footwear,Repair and hire of footwear
2019 Q1,"14,670","12,421",93,"10,770","1,389",169,"2,249","2,235",14
2019 Q2,"16,674","14,171",97,"12,360","1,532",182,"2,503","2,485",18
2019 Q3,"17,333","14,693",93,"12,723","1,663",214,"2,640","2,619",21
2019 Q4,"21,111","18,025",90,"15,640","2,060",235,"3,086","3,067",19
2020 Q1,"12,058","10,312",103,"8,840","1,146",223,"1,746","1,734",12
2020 Q2,"11,101","9,538",80,"8,383",988,87,"1,563","1,555",8
2020 Q3,"14,348","12,207",116,"10,565","1,370",156,"2,141","2,128",13
2020 Q4,"17,918","15,219",156,"13,125","1,777",161,"2,699","2,693",6
2021 Q1,"11,300","9,784",137,"8,609",908,130,"1,516","1,509",7
2021 Q2,"15,706","13,503",92,"11,817","1,442",152,"2,203","2,197",6
2021 Q3,"15,438","13,257",87,"11,527","1,431",212,"2,181","2,171",10
2021 Q4,"19,810","16,965",130,"14,914","1,816",105,"2,845","2,836",9
2022 Q1,"15,341","13,185",215,"11,353","1,460",157,"2,156","2,144",12
2022 Q2,"17,423","14,819",151,"12,727","1,754",187,"2,604","2,595",9
2022 Q3,"17,397","14,657",140,"12,578","1,731",208,"2,740","2,733",7
2022 Q4,"22,375","18,867",150,"16,331","2,233",153,"3,508","3,499",9
2023 Q1,"16,975","14,332",136,"12,322","1,638",236,"2,643","2,633",10
2023 Q2,"19,522","16,399",139,"14,035","1,953",272,"3,123","3,114",9
2023 Q3,"19,066","15,872",152,"13,591","1,871",258,"3,194","3,186",8
2023 Q4,"23,446","19,606",152,"16,856","2,353",245,"3,840","3,830",10
2024 Q1,"17,155","14,426",135,"12,451","1,637",203,"2,729","2,720",9
2024 Q2,"19,280","16,007",149,"13,766","1,884",208,"3,273","3,260",13
2024 Q3,"19,568","16,142",146,"13,935","1,850",211,"3,426","3,414",12
2024 Q4,"23,832","19,743",145,"17,012","2,385",201,"4,089","4,076",13
