Time period and codes,Total semi-durable goods,Clothing and footwear,Clothing materials,Garments,Other articles of clothing and clothing accessories,Shoes and other footwear,Household goods,Household textiles,other Household textiles,Small electric household appliances,"Glassware, tableware and household appliances","other Glassware, tableware and household appliances",Small tools and equipment,Transport,Spare parts and accessories for personal transport equipment,Recreation and culture,Recording media,"Games, toys and hobbies","Equipment for sport, camping and open-air recreation",Books,Miscellaneous,Electrical appliances for personal care,Other personal effects
2006 Q3,"20,110","10,677",49,"8,269",716,"1,643","3,221",951,951,294,"1,040","1,040",936,"1,067","1,067","4,744","1,407","1,641",984,712,401,67,334
2006 Q4,"26,224","13,847",21,"10,832",953,"2,041","3,777","1,120","1,120",311,"1,327","1,327","1,019","1,218","1,218","6,735","2,069","2,293","1,148","1,225",647,197,450
2007 Q1,"18,656","9,230",47,"7,132",676,"1,375","3,251",995,995,287,968,968,"1,001",977,977,"4,811","1,364","1,895",808,744,387,99,288
2007 Q2,"20,709","10,877",72,"8,450",735,"1,620","3,334","1,051","1,051",146,"1,053","1,053","1,084",997,997,"5,088","1,319","2,181",917,671,413,78,335
2007 Q3,"21,243","11,226",85,"8,801",684,"1,656","3,281","1,021","1,021",168,"1,069","1,069","1,023","1,064","1,064","5,243","1,380","2,194",900,769,429,99,330
2007 Q4,"26,908","14,147",43,"11,181",994,"1,929","4,094","1,287","1,287",381,"1,342","1,342","1,084","1,238","1,238","6,849","1,823","2,647","1,131","1,248",580,184,396
2008 Q1,"19,749","10,004",24,"7,899",676,"1,405","3,011",926,926,212,"1,001","1,001",872,"1,138","1,138","5,262","1,405","2,293",836,728,334,52,282
2008 Q2,"21,173","11,549",43,"9,095",739,"1,672","3,075",954,954,126,"1,051","1,051",944,949,949,"5,258","1,239","2,414",923,682,342,71,271
2008 Q3,"21,244","11,614",90,"9,120",640,"1,764","2,973",970,970,167,996,996,840,"1,210","1,210","5,123","1,254","2,174",937,758,324,62,262
2008 Q4,"26,133","14,043",120,"10,937",964,"2,022","3,488","1,142","1,142",315,"1,125","1,125",906,"1,434","1,434","6,664","1,875","2,606","1,010","1,173",504,175,329
2009 Q1,"19,321","10,420",68,"8,205",595,"1,552","2,803","1,021","1,021",184,799,799,799,"1,117","1,117","4,714","1,132","2,042",843,697,267,48,219
2009 Q2,"20,770","11,476",113,"8,899",626,"1,838","2,885","1,106","1,106",205,790,790,784,"1,152","1,152","4,923","1,059","2,212","1,024",628,334,66,268
2009 Q3,"20,906","11,538",107,"8,984",642,"1,805","2,855","1,162","1,162",144,782,782,767,"1,209","1,209","4,948","1,086","2,216",946,700,356,68,288
2009 Q4,"26,369","14,250",84,"11,270",797,"2,099","3,546","1,418","1,418",294,974,974,860,"1,320","1,320","6,747","1,696","2,819","1,025","1,207",506,119,387
2010 Q1,"19,355","10,301",51,"8,024",757,"1,469","2,985","1,202","1,202",178,807,807,798,"1,084","1,084","4,601","1,006","1,979",939,677,384,44,340
2010 Q2,"21,327","11,656",85,"9,080",812,"1,679","3,064","1,225","1,225",168,907,907,764,"1,071","1,071","4,889","1,001","2,113","1,097",678,647,64,583
2010 Q3,"22,196","11,976",79,"9,276",846,"1,775","3,113","1,234","1,234",225,935,935,719,"1,131","1,131","5,179","1,040","2,221","1,138",780,797,92,705
2010 Q4,"27,688","14,908",79,"11,557","1,121","2,151","3,728","1,464","1,464",341,"1,134","1,134",789,"1,164","1,164","6,868","1,658","2,761","1,222","1,227","1,020",140,880
2011 Q1,"20,116","10,848",73,"8,463",814,"1,498","3,094","1,035","1,035",253,"1,024","1,024",782,"1,169","1,169","4,372","1,027","1,862",827,656,633,74,559
2011 Q2,"21,794","12,241",69,"9,445",933,"1,794","3,217",958,958,307,"1,062","1,062",890,993,993,"4,600","1,029","1,873","1,081",617,743,116,627
2011 Q3,"22,165","12,382",67,"9,519",942,"1,854","3,073",933,933,262,"1,048","1,048",830,"1,053","1,053","4,918","1,070","2,010","1,157",681,739,93,646
2011 Q4,"28,380","15,762",53,"12,199","1,242","2,268","3,853","1,100","1,100",482,"1,264","1,264","1,007","1,071","1,071","6,603","1,571","2,567","1,296","1,169","1,091",258,833
2012 Q1,"20,557","11,249",55,"8,575",915,"1,704","3,381",905,905,357,"1,138","1,138",981,"1,102","1,102","4,140",989,"1,671",837,643,685,92,593
2012 Q2,"21,993","12,402",51,"9,438",996,"1,917","3,434",949,949,182,"1,214","1,214","1,089","1,145","1,145","4,268",995,"1,722","1,003",548,744,140,604
2012 Q3,"22,899","12,787",47,"9,711",970,"2,059","3,365",939,939,218,"1,192","1,192","1,016","1,212","1,212","4,804","1,113","1,839","1,210",642,731,101,630
2012 Q4,"29,609","16,429",59,"12,557","1,295","2,518","3,952","1,141","1,141",395,"1,429","1,429",987,"1,200","1,200","6,851","1,895","2,389","1,312","1,255","1,177",349,828
2013 Q1,"21,792","12,045",129,"9,315",867,"1,734","3,388","1,005","1,005",197,"1,193","1,193",993,"1,252","1,252","4,289","1,065","1,698",893,633,818,124,694
2013 Q2,"24,119","13,427",93,"10,280","1,052","2,002","3,737","1,048","1,048",323,"1,273","1,273","1,093","1,235","1,235","4,763","1,265","1,887","1,017",594,957,187,770
2013 Q3,"24,875","14,056",128,"10,667","1,073","2,188","3,469","1,046","1,046",273,"1,272","1,272",878,"1,248","1,248","5,049","1,362","1,952","1,062",673,"1,053",226,827
2013 Q4,"31,336","17,703",122,"13,439","1,458","2,684","4,313","1,293","1,293",441,"1,540","1,540","1,039","1,241","1,241","6,596","1,648","2,579","1,194","1,175","1,483",377,"1,106"
2014 Q1,"22,016","12,124",58,"9,250",983,"1,833","3,380","1,010","1,010",339,"1,127","1,127",904,"1,150","1,150","4,468","1,262","1,701",902,603,894,236,658
2014 Q2,"24,443","13,970",71,"10,667","1,103","2,129","3,579","1,062","1,062",386,"1,242","1,242",889,"1,208","1,208","4,729","1,177","1,858","1,109",585,957,265,692
2014 Q3,"24,829","14,027",69,"10,645","1,096","2,217","3,711","1,091","1,091",463,"1,224","1,224",933,"1,301","1,301","4,926","1,177","1,899","1,144",706,864,152,712
2014 Q4,"31,294","17,801",54,"13,625","1,400","2,722","4,335","1,381","1,381",444,"1,470","1,470","1,040","1,210","1,210","6,702","1,635","2,534","1,333","1,200","1,246",277,969
2015 Q1,"22,603","12,494",13,"9,516","1,046","1,919","3,664","1,199","1,199",266,"1,215","1,215",984,"1,170","1,170","4,550","1,349","1,637",910,654,725,128,597
2015 Q2,"25,373","14,492",11,"11,037","1,148","2,296","3,880","1,288","1,288",361,"1,250","1,250",981,"1,180","1,180","4,946","1,410","1,854","1,038",644,875,156,719
2015 Q3,"26,528","15,044",12,"11,445","1,204","2,383","3,896","1,340","1,340",397,"1,209","1,209",950,"1,228","1,228","5,403","1,465","2,048","1,118",772,957,250,707
2015 Q4,"34,300","19,053",13,"14,509","1,542","2,989","4,868","1,702","1,702",563,"1,443","1,443","1,160","1,367","1,367","7,493","1,923","3,026","1,290","1,254","1,519",375,"1,144"
2016 Q1,"24,396","13,225",7,"10,245","1,019","1,954","4,036","1,350","1,350",292,"1,263","1,263","1,131","1,338","1,338","4,934","1,317","1,796","1,109",712,863,254,609
2016 Q2,"26,560","15,127",47,"11,651","1,166","2,263","3,956","1,378","1,378",258,"1,344","1,344",976,"1,383","1,383","5,168","1,301","1,955","1,283",629,926,267,659
2016 Q3,"27,411","15,676",18,"12,204","1,107","2,347","4,217","1,461","1,461",294,"1,371","1,371","1,091","1,386","1,386","5,250","1,385","1,894","1,274",697,882,203,679
2016 Q4,"35,498","19,800",39,"15,392","1,472","2,897","5,278","1,774","1,774",516,"1,729","1,729","1,259","1,401","1,401","7,798","2,194","2,723","1,648","1,233","1,221",324,897
2017 Q1,"26,028","13,583",47,"10,521","1,016","1,999","4,532","1,654","1,654",280,"1,368","1,368","1,230","1,370","1,370","5,534",996,"2,394","1,357",787,"1,009",281,728
2017 Q2,"28,604","15,284",59,"11,791","1,041","2,393","4,669","1,690","1,690",312,"1,482","1,482","1,185","1,368","1,368","6,241","1,314","2,712","1,525",690,"1,042",228,814
2017 Q3,"29,497","15,938",59,"12,182","1,155","2,542","4,692","1,760","1,760",287,"1,491","1,491","1,154","1,332","1,332","6,490","1,320","2,753","1,596",821,"1,045",193,852
2017 Q4,"36,743","19,687",54,"15,098","1,374","3,161","5,887","2,177","2,177",596,"1,851","1,851","1,263","1,336","1,336","8,523","1,544","3,661","1,900","1,418","1,310",182,"1,128"
2018 Q1,"26,856","13,897",10,"10,591","1,165","2,131","4,785","1,620","1,620",311,"1,489","1,489","1,365","1,312","1,312","6,005","1,307","2,558","1,325",815,857,194,663
2018 Q2,"28,135","15,768",10,"12,039","1,169","2,550","4,518","1,494","1,494",257,"1,533","1,533","1,234","1,295","1,295","5,561",791,"2,734","1,335",701,993,246,747
2018 Q3,"29,744","16,416",21,"12,355","1,343","2,697","4,977","1,560","1,560",329,"1,558","1,558","1,530","1,284","1,284","6,147","1,332","2,789","1,259",767,920,143,777
2018 Q4,"38,549","20,004",16,"15,248","1,526","3,214","5,885","1,939","1,939",467,"1,936","1,936","1,543","1,273","1,273","9,655","2,904","3,666","1,611","1,474","1,732",435,"1,297"
2019 Q1,"28,058","14,487",93,"10,770","1,389","2,235","4,792","1,526","1,526",368,"1,567","1,567","1,331","1,281","1,281","6,558","1,035","2,643","2,055",825,940,156,784
2019 Q2,"31,201","16,474",97,"12,360","1,532","2,485","5,040","1,593","1,593",344,"1,680","1,680","1,423","1,279","1,279","7,230","1,334","2,842","2,246",808,"1,178",318,860
2019 Q3,"32,500","17,098",93,"12,723","1,663","2,619","5,298","1,618","1,618",625,"1,668","1,668","1,387","1,336","1,336","7,694","1,498","2,897","2,396",903,"1,074",177,897
2019 Q4,"39,963","20,857",90,"15,640","2,060","3,067","6,199","2,047","2,047",650,"2,003","2,003","1,499","1,283","1,283","9,616","1,885","3,613","2,464","1,654","2,008",879,"1,129"
2020 Q1,"24,940","11,823",103,"8,840","1,146","1,734","4,828","1,624","1,624",327,"1,500","1,500","1,377","1,286","1,286","6,364","1,034","2,485","1,961",884,639,158,481
2020 Q2,"22,888","11,006",80,"8,383",988,"1,555","4,297","1,395","1,395",124,"1,447","1,447","1,331",766,766,"6,265","1,224","2,458","1,864",719,554,120,434
2020 Q3,"28,508","14,179",116,"10,565","1,370","2,128","5,409","1,916","1,916",425,"1,631","1,631","1,437","1,189","1,189","6,820","1,016","2,813","2,276",715,911,336,575
2020 Q4,"36,668","17,751",156,"13,125","1,777","2,693","6,922","2,208","2,208",985,"2,027","2,027","1,702",864,864,"9,820","1,755","3,673","2,917","1,475","1,311",583,728
2021 Q1,"24,569","11,163",137,"8,609",908,"1,509","5,284","1,769","1,769",351,"1,510","1,510","1,654","1,114","1,114","6,440","1,218","2,426","2,052",744,568,139,429
2021 Q2,"31,338","15,548",92,"11,817","1,442","2,197","6,190","1,895","1,895",525,"1,764","1,764","2,006","1,130","1,130","7,739","1,259","2,947","2,789",744,731,148,583
2021 Q3,"30,413","15,216",87,"11,527","1,431","2,171","5,728","1,711","1,711",515,"1,712","1,712","1,790","1,232","1,232","7,481","1,223","2,847","2,521",890,756,152,604
2021 Q4,"39,590","19,696",130,"14,914","1,816","2,836","6,982","2,206","2,206",625,"2,097","2,097","2,054","1,159","1,159","10,159","1,738","3,713","3,087","1,621","1,594",778,816
2022 Q1,"31,480","15,172",215,"11,353","1,460","2,144","5,855","1,651","1,651",406,"1,977","1,977","1,821","1,259","1,259","7,915","1,614","2,949","2,469",883,"1,279",188,"1,091"
2022 Q2,"34,401","17,227",151,"12,727","1,754","2,595","6,058","1,735","1,735",386,"2,061","2,061","1,876","1,282","1,282","8,286","1,614","3,147","2,711",814,"1,548",341,"1,207"
2022 Q3,"33,922","17,182",140,"12,578","1,731","2,733","5,801","1,736","1,736",384,"1,988","1,988","1,693","1,302","1,302","8,352","1,584","3,051","2,861",856,"1,285",205,"1,080"
2022 Q4,"43,302","22,213",150,"16,331","2,233","3,499","7,245","2,181","2,181",639,"2,343","2,343","2,082","1,289","1,289","10,663","1,953","3,843","3,410","1,457","1,892",673,"1,219"
2023 Q1,"32,754","16,729",136,"12,322","1,638","2,633","5,518","1,721","1,721",174,"1,981","1,981","1,642","1,405","1,405","7,865","1,520","2,858","2,666",821,"1,237",177,"1,060"
2023 Q2,"36,764","19,241",139,"14,035","1,953","3,114","6,286","1,826","1,826",295,"2,140","2,140","2,025","1,393","1,393","8,385","1,516","3,132","2,963",774,"1,459",286,"1,173"
2023 Q3,"36,193","18,800",152,"13,591","1,871","3,186","6,353","1,790","1,790",490,"2,079","2,079","1,994","1,381","1,381","8,241","1,543","3,032","2,791",875,"1,418",251,"1,167"
2023 Q4,"44,406","23,191",152,"16,856","2,353","3,830","7,367","2,107","2,107",742,"2,435","2,435","2,083","1,334","1,334","10,453","1,940","3,842","3,306","1,365","2,061",643,"1,418"
2024 Q1,"33,569","16,943",135,"12,451","1,637","2,720","5,834","1,630","1,630",392,"1,985","1,985","1,827","1,373","1,373","8,054","1,582","3,096","2,613",763,"1,365",264,"1,101"
2024 Q2,"36,783","19,059",149,"13,766","1,884","3,260","6,228","1,675","1,675",540,"2,052","2,052","1,961","1,402","1,402","8,585","1,578","3,338","2,963",706,"1,509",302,"1,207"
2024 Q3,"36,955","19,345",146,"13,935","1,850","3,414","5,966","1,677","1,677",490,"2,039","2,039","1,760","1,427","1,427","8,759","1,582","3,391","2,933",853,"1,458",234,"1,224"
2024 Q4,"45,588","23,618",145,"17,012","2,385","4,076","7,144","2,019","2,019",647,"2,397","2,397","2,081","1,433","1,433","11,226","1,997","4,298","3,517","1,414","2,167",689,"1,478"
